model_ecc,SEOB_measured_ecc,TEOB_measured_ecc,SEOBNRE_measured_ecc
8.179969377519468e-05,6.199284805248205e-05,6.222238353829669e-07,4.563082213924351e-05
0.000101557361544,7.657166797413467e-05,0.0008397394212389,5.622823136840205e-05
0.000126087240768,9.468044318722234e-05,0.0008415806536178,6.935251428723819e-05
0.0001565419979684,0.000117219828489,0.0008444984427639,8.567935578280768e-05
0.0001943527114929,0.0001453545504707,0.0008489837082626,0.00010591980769022847
0.0002412961183253,0.0001805221906086,0.0008556621429335,0.00013105979088882705
0.0002995781034986,0.0002238981414325,0.0008661014905358,0.00016227350960078423
0.0003719373553072,0.0002777232146518,0.0008817476923885,0.00020099308040898845
0.0004617740571069,0.000344576511016,0.0009055126826368,0.0002491268802106064
0.0005733096629695,0.0004276846519799,0.0009408412214975,0.0003088726150448761
0.0007117852651001,0.0005310177876763,0.0009927664165209,0.0003829542148660655
0.0008837078743614,0.0006588296115538,0.0010679838183664,0.0004751093996829603
0.0010971561867027,0.0008179480673121,0.0011744533939541,0.0006047747360200391
0.0013621602035512,0.0010156716730767,0.0013219484510841,0.0007484998348534462
0.0016911725446448,0.0012608631816762,0.0015217059883417,0.0009265903330084585
0.0020996536004384,0.0015651657192119,0.0017862987467917,0.0011479410786276389
0.0026067980205769,0.0019428971526826,0.002130872700322,0.0014224804799560147
0.0032364366763473,0.0024123153605956,0.0025731972671463,0.00176383110374198
0.0040181564806038,0.0029950661287788,0.0031348418704732,0.0021866328225926355
0.0049886906858441,0.0037184580491843,0.003822278367723,0.0027124813141016606
0.0061936449909706,0.0046148363609094,0.0047056944543793,0.0033633593073173085
0.0076896405670187,0.0057306116130813,0.0058101752926238,0.004173276036979932
0.0095469747032875,0.0071159472485193,0.0071880272070965,0.005175944652089014
0.011852924098447,0.0088330318797242,0.0089027980590401,0.006422717051001469
0.0147158460192805,0.0109675952506847,0.0110353662432709,0.007967296676691058
0.0182702700417654,0.0136172177075453,0.0136870807549158,0.009882896069074224
0.0226832196369603,0.0169073875467298,0.0169825644807101,0.012259777156923531
0.0281620606549539,0.0209915865720181,0.0210739801810353,0.015204253772139445
0.0349642455095313,0.0260626456057815,0.0261610170648966,0.01886642843932293
0.0434094109457766,0.0323664652577415,0.0324830672623023,0.023398778893133822
0.053894397868406,0.0401967533463296,0.0403430452249294,0.029037083493956915
0.0669118990171563,0.0499243947071098,0.0501090898752166,0.03604011900567682
0.0830736107491936,0.0619997605854751,0.0622593750106702,0.044730505753399215
0.1031389768378722,0.0770460282672473,0.0773665772219334,0.05550944589987999
0.1280508749677332,0.0957702086908998,0.0961567174181367,0.06886592564448633
0.1589799228450477,0.1191150905428262,0.1195520021138989,0.08537089236109288
0.1973794858815768,0.1482609052334909,0.1487241078057198,0.10587308025761326
0.245053971279426,0.1848275609195938,0.1853475402719769,0.13135397995346504
0.3042436176769003,0.2308291858044855,0.2318224772711884,0.16309109692848597
0.3777297646467454,0.2893897350066594,0.2912790208471952,0.2027572041043022
0.4689655486926553,0.3648246234212821,0.3670321847839213,0.25223611609838353
0.582238167188866,0.4640007785106956,0.4680458034374465,0.31524413979609556
0.722870335094958,0.5992680645842037,0.6119623056758268,0.3966630447256332
0.8974704009584349,0.7644014405266428,0.7682608542711336,0.5272564350920893
